WeekDynamic_Classified																														
Date	WeekDynamic_Open_Interest_Total	WeekDynamic_Reportable_Positions_Net	WeekDynamic_Reportable_Positions_Long	WeekDynamic_Reportable_Positions_Short	WeekDynamic_Prod_Merc_Positions_Total	WeekDynamic_Prod_Merc_Positions_Net	WeekDynamic_Prod_Merc_Positions_Long	WeekDynamic_Prod_Merc_Positions_Short	WeekDynamic_Swap_Positions_Total	WeekDynamic_Swap_Positions_Net	WeekDynamic_Swap_Positions_Long	WeekDynamic_Swap_Positions_Short	WeekDynamic_Swap_Positions_Spread	WeekDynamic_M_Money_Positions_Total	WeekDynamic_M_Money_Positions_Net	WeekDynamic_M_Money_Positions_Long	WeekDynamic_M_Money_Positions_Short	WeekDynamic_M_Money_Positions_Spread	WeekDynamic_Other_Rept_Positions_Total	WeekDynamic_Other_Rept_Positions_Net	WeekDynamic_Other_Rept_Positions_Long	WeekDynamic_Other_Rept_Positions_Short	WeekDynamic_Other_Rept_Positions_Spread	WeekDynamic_NonRept_Positions_Total	WeekDynamic_NonRept_Positions_Net	WeekDynamic_NonRept_Positions_Long	WeekDynamic_NonRept_Positions_Short	binShort	binLong	binNeut
29.04.2014	3	0	3	3	5	0	3	6	0	0	5	5	2	0	0	6	4	0	1	0	3	3	2	0	0	5	0	1	0	0
06.05.2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	6	3	6	0	7	0	1	0	0
13.05.2014	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	7	0	5	4	0	1	0	0
20.05.2014	0	0	0	0	0	0	6	4	0	5	0	4	7	0	0	3	7	0	6	0	0	0	0	0	0	0	0	1	0	0
27.05.2014	0	0	0	0	6	0	6	0	0	0	0	0	0	6	0	0	6	0	3	0	0	4	3	0	0	0	0	1	0	0
03.06.2014	0	0	0	0	0	0	7	0	0	4	3	0	7	0	0	0	7	2	0	4	7	0	3	7	0	6	6	1	0	0
10.06.2014	6	0	6	6	0	0	0	4	6	0	5	5	0	6	4	3	7	6	6	5	6	3	7	0	0	0	0	1	0	0
17.06.2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	1	0	0
24.06.2014	2	0	1	2	0	0	0	0	0	9	0	3	2	0	5	3	6	2	1	0	2	3	3	0	0	6	0	0	0	1
01.07.2014	0	0	0	0	3	0	3	4	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	3	0	3	3	0	0	1
08.07.2014	6	0	6	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	6	6	0	6	6	0	0	1
15.07.2014	7	0	7	7	6	0	0	5	6	6	6	0	0	0	0	0	0	0	7	0	6	6	6	5	0	0	0	0	0	1
22.07.2014	6	0	6	6	0	0	0	0	0	0	0	4	0	7	0	5	6	6	0	5	6	0	0	0	0	0	0	0	1	0
29.07.2014	6	0	6	6	0	0	6	0	5	0	0	0	6	6	0	0	6	0	0	0	0	4	6	4	0	0	4	0	1	0
05.08.2014	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1
